ANNÉE,MARQUE,MODÈLE,CATÉGORIE DE,CYLINDRÉE,CYLINDRES,TRANSMISSION,TYPE DE,CONSOMMATION DE CARBURANT*,,,,ÉMISSIONS DE CO2,,
MODÈLE,,,VÉHICULE,(L),,,CARBURANT,VILLE (L/100 km),ROUTE (L/100 km),COMB (L/100 km),COMB (mi/gal),(g/km),,
2005,ACURA,1.7EL,COMPACTE,1.7,4,A4,X,9.2,7.2,8.3,34,191,,
2005,ACURA,1.7EL,COMPACTE,1.7,4,M5,X,9.1,7.3,8.3,34,191,,
2005,ACURA,MDX AWD,VUS,3.5,6,A5,Z,15.9,11.1,13.7,21,315,,
2005,ACURA,NSX,DEUX PLACES,3.0,6,AS4,Z,15.1,10.5,13.0,22,299,,
2005,ACURA,NSX,DEUX PLACES,3.2,6,M6,Z,15.1,10.5,13.0,22,299,,
2005,ACURA,RL,INTERMÉDIAIRE,3.5,6,AS5,Z,14.5,9.9,12.4,23,285,,
2005,ACURA,RSX,SOUS-COMPACTE,2.0,4,AS5,X,10.6,7.6,9.3,30,214,,
2005,ACURA,RSX,SOUS-COMPACTE,2.0,4,M5,X,9.9,7.6,8.9,32,205,,
2005,ACURA,RSX,SOUS-COMPACTE,2.0,4,M6,Z,11.8,8.3,10.2,28,235,,
2005,ACURA,TL,INTERMÉDIAIRE,3.2,6,AS5,Z,13.3,8.9,11.3,25,260,,
2005,ACURA,TL,INTERMÉDIAIRE,3.2,6,M6,Z,13.3,8.9,11.3,25,260,,
2005,ACURA,TSX,COMPACTE,2.4,4,AS5,Z,12.0,8.5,10.4,27,239,,
2005,ACURA,TSX,COMPACTE,2.4,4,M6,Z,12.5,8.7,10.8,26,248,,
2005,AUDI,A4,COMPACTE,1.8,4,AV,Z,11.8,8.7,10.4,27,239,,
2005,AUDI,A4 AVANT,FAMILIALE - PETITE,1.8,4,AV,Z,11.6,8.6,10.2,28,235,,
2005,AUDI,A4 AVANT QUATTRO,FAMILIALE - PETITE,1.8,4,AS5,Z,13.2,9.0,11.3,25,260,,
2005,AUDI,A4 AVANT QUATTRO,FAMILIALE - PETITE,1.8,4,M6,Z,12.6,8.5,10.7,26,246,,
2005,AUDI,A4 AVANT QUATTRO,FAMILIALE - PETITE,3.0,6,AS5,Z,14.5,9.9,12.4,23,285,,
2005,AUDI,A4 AVANT QUATTRO,FAMILIALE - PETITE,3.0,6,M6,Z,14.5,9.8,12.4,23,285,,
2005,AUDI,A4 AVANT QUATTRO,FAMILIALE - PETITE,3.1,6,AS6,Z,14.2,9.7,12.2,23,281,,
2005,AUDI,A4 CABRIOLET,SOUS-COMPACTE,1.8,4,AV,Z,11.6,8.6,10.2,28,235,,
2005,AUDI,A4 CABRIOLET,SOUS-COMPACTE,3.0,6,AV,Z,12.8,9.0,11.1,25,255,,
2005,AUDI,A4 CABRIOLET QUATTRO,SOUS-COMPACTE,3.0,6,AS5,Z,14.5,9.9,12.4,23,285,,
2005,AUDI,A4 QUATTRO,COMPACTE,1.8,4,AS5,Z,13.2,9.0,11.3,25,260,,
2005,AUDI,A4 QUATTRO,COMPACTE,1.8,4,M6,Z,12.7,8.6,10.8,26,248,,
2005,AUDI,A4 QUATTRO,COMPACTE,3.0,6,AS5,Z,14.5,9.9,12.4,23,285,,
2005,AUDI,A4 QUATTRO,COMPACTE,3.0,6,M6,Z,14.5,9.8,12.4,23,285,,
2005,AUDI,A4 QUATTRO,COMPACTE,3.1,6,AS6,Z,14.2,9.7,12.2,23,281,,
2005,AUDI,A6 AVANT QUATTRO,FAMILIALE - INTERMÉDIAIRE,3.1,6,AS6,Z,15.2,9.9,12.8,22,294,,
2005,AUDI,A6 QUATTRO,INTERMÉDIAIRE,3.1,6,AS6,Z,14.2,9.7,12.2,23,281,,
2005,AUDI,A6 QUATTRO,INTERMÉDIAIRE,4.2,8,AS6,Z,15.2,11.0,13.3,21,306,,
2005,AUDI,A8,INTERMÉDIAIRE,4.2,8,AS6,Z,15.0,10.5,13.0,22,299,,
2005,AUDI,A8L,GRANDE BERLINE,4.2,8,AS6,Z,15.0,10.5,13.0,22,299,,
2005,AUDI,A8L,GRANDE BERLINE,6.0,12,AS6,Z,17.8,12.3,15.3,18,352,,
2005,AUDI,ALLROAD QUATTRO,VUS,2.7,6,AS5,Z,16.0,11.5,14.0,20,322,,
2005,AUDI,ALLROAD QUATTRO,VUS,2.7,6,M6,Z,16.5,11.1,14.1,20,324,,
2005,AUDI,S4,COMPACTE,4.2,8,AS6,Z,15.0,10.7,13.1,22,301,,
2005,AUDI,S4,COMPACTE,4.2,8,M6,Z,17.6,12.0,15.1,19,347,,
2005,AUDI,S4 AVANT,FAMILIALE - PETITE,4.2,8,AS6,Z,15.0,10.7,13.1,22,301,,
2005,AUDI,S4 AVANT,FAMILIALE - PETITE,4.2,8,M6,Z,17.6,12.0,15.1,19,347,,
2005,AUDI,S4 CABRIOLET,SOUS-COMPACTE,4.2,8,AS6,Z,14.9,11.0,13.1,22,301,,
2005,AUDI,S4 CABRIOLET,SOUS-COMPACTE,4.2,8,M6,Z,17.6,12.0,15.1,19,347,,
2005,AUDI,TT COUPE,MINICOMPACTE,1.8,4,AS6,Z,12.8,8.9,11.0,26,253,,
2005,AUDI,TT COUPE QUATTRO,MINICOMPACTE,1.8,4,M6,Z,13.2,9.0,11.3,25,260,,
2005,AUDI,TT COUPE QUATTRO,MINICOMPACTE,3.2,6,AS6,Z,12.0,9.6,10.9,26,251,,
2005,AUDI,TT ROADSTER,DEUX PLACES,1.8,4,AS6,Z,13.4,9.0,11.4,25,262,,
2005,AUDI,TT ROADSTER QUATTRO,DEUX PLACES,1.8,4,M6,Z,13.2,9.0,11.3,25,260,,
2005,AUDI,TT ROADSTER QUATTRO,DEUX PLACES,3.2,6,AS6,Z,12.3,9.6,11.1,25,255,,
2005,BENTLEY,ARNAGE,INTERMÉDIAIRE,6.7,8,A4,Z,25.1,17.4,21.6,13,497,,
2005,BENTLEY,ARNAGE LWB,GRANDE BERLINE,6.7,8,A4,Z,25.1,17.4,21.6,13,497,,
2005,BENTLEY,CONTINENTAL GT,COMPACTE,6.0,12,AS5,Z,22.9,14.3,19.0,15,437,,
2005,BMW,320i,COMPACTE,2.2,6,A5,Z,13.1,8.8,11.2,25,258,,
2005,BMW,320i,COMPACTE,2.2,6,M5,Z,12.8,8.6,10.9,26,251,,
2005,BMW,325Ci,SOUS-COMPACTE,2.5,6,A5,Z,13.8,9.5,11.9,24,274,,
2005,BMW,325Ci,SOUS-COMPACTE,2.5,6,AM6,Z,12.0,8.0,10.2,28,235,,
2005,BMW,325Ci,SOUS-COMPACTE,2.5,6,M5,Z,13.1,8.8,11.2,25,258,,
2005,BMW,325Ci CONVERTIBLE,MINICOMPACTE,2.5,6,A5,Z,14.3,9.7,12.2,23,281,,
