ANNÉE,MARQUE,MODÈLE,CATÉGORIE DE,CYLINDRÉE,CYLINDRES,TRANSMISSION,TYPE DE,CONSOMMATION DE CARBURANT*,,,,ÉMISSIONS DE CO2,,,,
MODÈLE,,,VÉHICULE,(L),,,CARBURANT,VILLE (L/100 km),ROUTE (L/100 km),COMB (L/100 km),COMB (mi/gal),(g/km),,,,
2015,ACURA,ILX,COMPACTE,2.0,4,AS5,Z,9.7,6.7,8.3,34,191,,,,
2015,ACURA,ILX,COMPACTE,2.4,4,M6,Z,10.8,7.4,9.3,30,214,,,,
2015,ACURA,ILX HYBRID,COMPACTE,1.5,4,AV7,Z,6.0,6.1,6.1,46,140,,,,
2015,ACURA,MDX SH-AWD,VUS - PETIT,3.5,6,AS6,Z,12.7,9.1,11.1,25,255,,,,
2015,ACURA,RDX AWD,VUS - PETIT,3.5,6,AS6,Z,12.1,8.7,10.6,27,244,,,,
2015,ACURA,RLX,INTERMÉDIAIRE,3.5,6,AS6,Z,11.9,7.7,10.0,28,230,,,,
2015,ACURA,RLX HYBRID,INTERMÉDIAIRE,3.5,6,AM7,Z,8.0,7.5,7.7,37,177,,,,
2015,ACURA,TLX,COMPACTE,2.4,4,AM8,Z,9.6,6.6,8.3,34,191,,,,
2015,ACURA,TLX,COMPACTE,3.5,6,AS9,Z,11.2,6.9,9.2,31,212,,,,
2015,ACURA,TLX SH-AWD,COMPACTE,3.5,6,AS9,Z,11.2,7.5,9.6,29,221,,,,
2015,ALFA ROMEO,4C,DEUX PLACES,1.8,4,AM6,Z,9.7,6.9,8.4,34,193,,,,
2015,ASTON MARTIN,DB9,MINICOMPACTE,5.9,12,A6,Z,18.0,12.6,15.6,18,359,,,,
2015,ASTON MARTIN,RAPIDE S,SOUS-COMPACTE,6.0,12,A8,Z,16.8,10.9,14.2,20,327,,,,
2015,ASTON MARTIN,V8 VANTAGE,DEUX PLACES,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,,,,
2015,ASTON MARTIN,V8 VANTAGE,DEUX PLACES,4.7,8,M6,Z,18.1,12.3,15.5,18,356,,,,
2015,ASTON MARTIN,V8 VANTAGE S,DEUX PLACES,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,,,,
2015,ASTON MARTIN,V8 VANTAGE S,DEUX PLACES,4.7,8,M6,Z,18.1,12.3,15.5,18,356,,,,
2015,ASTON MARTIN,V12 VANTAGE S,DEUX PLACES,6.0,12,AM7,Z,19.5,12.8,16.5,17,379,,,,
2015,ASTON MARTIN,VANTAGE GT,DEUX PLACES,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,,,,
2015,ASTON MARTIN,VANTAGE GT,DEUX PLACES,4.7,8,M6,Z,18.1,12.3,15.5,18,356,,,,
2015,ASTON MARTIN,VANQUISH,MINICOMPACTE,6.0,12,A8,Z,17.6,11.4,14.8,19,340,,,,
2015,AUDI,A3,SOUS-COMPACTE,1.8,4,AM6,Z,10.0,7.1,8.7,32,200,,,,
2015,AUDI,A3 TDI (modifié),SOUS-COMPACTE,2.0,4,AM6,D,7.6,5.5,6.5,43,177,,,,
2015,AUDI,A3 QUATTRO,SOUS-COMPACTE,2.0,4,AM6,Z,9.8,7.2,8.6,33,198,,,,
2015,AUDI,A3 CABRIOLET QUATTRO,SOUS-COMPACTE,2.0,4,AM6,Z,10.1,7.5,8.9,32,205,,,,
2015,AUDI,A4,COMPACTE,2.0,4,AV8,Z,9.9,7.6,8.9,32,205,,,,
2015,AUDI,A4 QUATTRO,COMPACTE,2.0,4,AS8,Z,11.0,7.8,9.6,29,221,,,,
2015,AUDI,A4 QUATTRO,COMPACTE,2.0,4,M6,Z,10.6,7.3,9.1,31,209,,,,
2015,AUDI,A4 ALLROAD QUATTRO,FAMILIALE - PETITE,2.0,4,AS8,Z,11.2,8.4,9.9,28,228,,,,
2015,AUDI,A5 QUATTRO,SOUS-COMPACTE,2.0,4,AS8,Z,11.0,7.8,9.6,29,221,,,,
2015,AUDI,A5 QUATTRO,SOUS-COMPACTE,2.0,4,M6,Z,10.6,7.3,9.1,31,209,,,,
