ANNÉE,MARQUE,MODÈLE,CATÉGORIE DE,CYLINDRÉE,CYLINDRES,TRANSMISSION,TYPE DE,CONSOMMATION DE CARBURANT,,,,ÉMISSIONS DE CO2,INDICE,,,
MODÈLE,,,VÉHICULE,(L),,,CARBURANT,VILLE (L/100 km),ROUTE (L/100 km),COMB (L/100 km),COMB (mi/gal),(g/km),DE CO2,,,
2016,ACURA,ILX,COMPACTE,2.4,4,AM8,Z,9.3,6.6,8.1,35,189,7,,,
2016,ACURA,MDX SH-AWD,VUS - PETIT,3.5,6,AS9,Z,12.7,9.1,11.1,25,254,5,,,
2016,ACURA,MDX SH-AWD ELITE,VUS - PETIT,3.5,6,AS9,Z,12.2,9.1,10.7,26,251,5,,,
2016,ACURA,RDX AWD,VUS - PETIT,3.5,6,AS6,Z,12.4,8.6,10.7,26,249,5,,,
2016,ACURA,RLX,INTERMÉDIAIRE,3.5,6,AS6,Z,11.9,7.7,10.0,28,235,5,,,
2016,ACURA,RLX HYBRID,INTERMÉDIAIRE,3.5,6,AM7,Z,8.0,7.5,7.7,37,180,7,,,
2016,ACURA,TLX,COMPACTE,2.4,4,AM8,Z,9.6,6.6,8.3,34,196,7,,,
2016,ACURA,TLX SH-AWD,COMPACTE,3.5,6,AS9,Z,11.2,7.5,9.6,29,226,5,,,
2016,ALFA ROMEO,4C,DEUX PLACES,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,7,,,
2016,ASTON MARTIN,DB9 GT,MINICOMPACTE,5.9,12,A6,Z,18.0,12.6,15.6,18,365,2,,,
2016,ASTON MARTIN,RAPIDE S,SOUS-COMPACTE,6.0,12,A8,Z,16.8,10.9,14.2,20,332,3,,,
2016,ASTON MARTIN,VANQUISH,MINICOMPACTE,6.0,12,A8,Z,17.6,11.4,14.8,19,346,3,,,
2016,ASTON MARTIN,V8 VANTAGE,DEUX PLACES,4.7,8,AM7,Z,17.4,11.3,14.7,19,343,3,,,
2016,ASTON MARTIN,V8 VANTAGE,DEUX PLACES,4.7,8,M6,Z,18.1,12.3,15.5,18,362,2,,,
2016,ASTON MARTIN,VANTAGE GT,DEUX PLACES,4.7,8,AM7,Z,17.4,11.3,14.7,19,343,3,,,
2016,ASTON MARTIN,VANTAGE GT,DEUX PLACES,4.7,8,M6,Z,18.1,12.3,15.5,18,362,2,,,
2016,ASTON MARTIN,V8 VANTAGE S,DEUX PLACES,4.7,8,AM7,Z,17.4,11.3,14.7,19,343,3,,,
2016,ASTON MARTIN,V8 VANTAGE S,DEUX PLACES,4.7,8,M6,Z,18.1,12.3,15.5,18,362,2,,,
2016,ASTON MARTIN,V12 VANTAGE S,DEUX PLACES,6.0,12,AM7,Z,19.5,12.8,16.5,17,390,2,,,
2016,AUDI,A3,SOUS-COMPACTE,1.8,4,AM6,X,10.0,7.1,8.7,32,204,6,,,
2016,AUDI,A3 QUATTRO,SOUS-COMPACTE,2.0,4,AM6,X,9.8,7.2,8.6,33,201,7,,,
2016,AUDI,A3 CABRIOLET QUATTRO,SOUS-COMPACTE,2.0,4,AM6,X,10.1,7.5,8.9,32,208,6,,,
2016,AUDI,A4,COMPACTE,2.0,4,AV8,Z,9.9,7.6,8.9,32,212,6,,,
2016,AUDI,A4 QUATTRO,COMPACTE,2.0,4,AS8,Z,11.0,7.8,9.6,29,224,6,,,
2016,AUDI,A4 QUATTRO,COMPACTE,2.0,4,M6,Z,10.6,7.3,9.1,31,214,6,,,
2016,AUDI,A4 ALLROAD QUATTRO,FAMILIALE - PETITE,2.0,4,AS8,Z,11.2,8.4,9.9,29,232,5,,,
2016,AUDI,A5 QUATTRO,SOUS-COMPACTE,2.0,4,AS8,Z,11.0,7.8,9.6,29,224,6,,,
2016,AUDI,A5 QUATTRO,SOUS-COMPACTE,2.0,4,M6,Z,10.6,7.3,9.1,31,214,6,,,
2016,AUDI,A5 CABRIOLET QUATTRO,SOUS-COMPACTE,2.0,4,AS8,Z,11.3,8.0,9.8,29,230,5,,,
2016,AUDI,A6 QUATTRO,INTERMÉDIAIRE,2.0,4,AS8,Z,10.8,7.3,9.2,31,211,6,,,
2016,AUDI,A6 QUATTRO,INTERMÉDIAIRE,3.0,6,AS8,Z,11.6,7.9,9.9,29,232,5,,,
2016,AUDI,A6 QUATTRO TDI (modifié),INTERMÉDIAIRE,3.0,6,AS8,D,9.4,6.2,7.8,36,213,6,,,
2016,AUDI,A7 QUATTRO,INTERMÉDIAIRE,3.0,6,AS8,Z,11.6,7.9,9.9,29,232,5,,,
2016,AUDI,A7 QUATTRO TDI (modifié),INTERMÉDIAIRE,3.0,6,AS8,D,9.4,6.2,7.8,36,213,6,,,
2016,AUDI,A8 QUATTRO,INTERMÉDIAIRE,3.0,6,AS8,Z,12.6,8.0,10.5,27,247,5,,,
2016,AUDI,A8 QUATTRO,INTERMÉDIAIRE,4.0,8,AS8,Z,12.9,8.0,10.7,26,249,5,,,
2016,AUDI,A8 QUATTRO TDI (modifié),INTERMÉDIAIRE,3.0,6,AS8,D,9.8,6.5,8.4,34,224,6,,,
2016,AUDI,A8L QUATTRO,GRANDE BERLINE,4.0,8,AS8,Z,13.1,8.3,10.9,26,255,5,,,
2016,AUDI,A8L QUATTRO,GRANDE BERLINE,6.3,12,AS8,Z,17.8,10.8,14.6,19,344,3,,,
2016,AUDI,Q3,COMPACTE,2.0,4,AS6,Z,12.0,8.2,10.3,27,242,5,,,
2016,AUDI,Q3 QUATTRO,COMPACTE,2.0,4,AS6,Z,11.9,8.4,10.3,27,240,5,,,
